abbreviation,region name,brain area,5MEO1 count,5MEO2 count,5MEO3 count,5MEO4 count,5MEO5 count,5MEO6 count,5MEO7 count,5MEO8 count,6-F-DET1 count,6-F-DET2 count,6-F-DET3 count,6-F-DET4 count,6-F-DET5 count,6-F-DET6 count,6-F-DET7 count,6-F-DET8 count,A-SSRI1 count,A-SSRI2 count,A-SSRI3 count,A-SSRI4 count,A-SSRI5 count,A-SSRI6 count,A-SSRI7 count,A-SSRI8 count,C-SSRI1 count,C-SSRI2 count,C-SSRI3 count,C-SSRI4 count,C-SSRI5 count,C-SSRI6 count,C-SSRI7 count,C-SSRI8 count,KET1 count,KET2 count,KET3 count,KET4 count,KET5 count,KET6 count,KET7 count,KET8 count,MDMA1 count,MDMA2 count,MDMA3 count,MDMA4 count,MDMA5 count,MDMA6 count,MDMA7 count,MDMA8 count,PSI1 count,PSI2 count,PSI3 count,PSI4 count,PSI5 count,PSI6 count,PSI7 count,PSI8 count,SAL1 count,SAL2 count,SAL3 count,SAL4 count,SAL5 count,SAL6 count,SAL7 count,SAL8 count
VISa,Anterior area,Cortex,15267,10201,32835,19709,5599,17278,7300,15248,6229,2475,4272,11493,21930,8479,12745,8204,2548,13042,20386,18868,9565,14363,7588,1327,6343,8530,11814,4606,4322,10567,13092,8721,10766,20314,5890,39519,22020,39149,19353,34189,45982,34661,27705,37330,25131,37579,35869,39953,8258,14971,3016,19414,11452,18464,8058,10186,15616,15756,23296,683,17931,3262,1693,15317
TEa,Temporal association areas,Cortex,52795,57293,96352,60874,38937,62307,100752,65762,24858,8894,61743,67551,110229,65737,72101,94000,35667,47646,53008,56115,80049,53272,28418,34681,10717,38952,23385,29336,32971,21215,24131,20872,77141,72340,78401,122321,68802,58826,58877,83786,73444,74763,48960,81022,68533,66697,57908,83545,19947,55480,34243,61952,67287,60929,67409,64459,79354,58739,46710,19766,54917,26929,33509,97924
PERI,Perirhinal area,Cortex,3984,5134,15302,6161,4687,7805,17947,10464,9571,2178,6560,9909,14425,7330,7667,13238,7133,2429,2469,4255,6862,10569,2621,5884,1583,2484,687,2354,2927,3199,2254,1450,9472,8639,9477,18487,8559,8720,7043,9469,11000,10449,7453,9667,8240,9238,8288,11130,2342,8329,6489,5778,5829,6091,3653,3949,12866,9881,6670,3877,5210,5870,3084,10727
ECT,Ectorhinal area,Cortex,21082,24997,48386,24437,13269,19703,49866,24363,17213,4709,20707,29676,48439,26203,20312,45127,17644,14098,17772,17611,30319,26118,13033,16966,3174,8389,6620,6861,7995,11068,9438,7539,38839,30580,26465,57783,27461,22725,24114,32910,23882,31550,24942,31380,30385,28476,21960,40892,10227,29974,18427,23535,21016,18498,21882,17858,37685,32414,17329,12083,21338,19931,9360,28756
PA,Posterior amygdalar nucleus,Cortex,4107,5481,9909,3429,4980,6765,12666,6955,4707,3724,3169,8510,12784,9392,5322,8128,2922,3707,8779,3319,9481,7775,4852,7165,2117,2035,3661,2523,1761,2217,4688,1464,12969,12531,5937,15523,6634,8570,6630,15227,9794,12823,10329,9115,11073,10920,10597,11866,2205,5200,1920,5530,5949,4526,6908,3826,7857,3648,8074,4692,8626,6368,4574,13716
BMA,Basomedial amygdalar nucleus,Cortex,10436,12041,21610,7646,9499,8875,19930,11798,9732,4989,7125,11847,22587,13769,10271,17308,6143,11110,17309,9851,17434,11257,11291,10178,4813,6166,7474,7102,3899,5884,8258,3921,26636,27112,16556,38458,12397,17681,11837,27637,16179,20115,11903,12896,16423,17582,16613,15658,6785,8028,3867,9423,13447,10870,13228,12859,14047,6226,12239,4680,20736,17940,11508,32176
BLA,Basolateral amygdalar nucleus,Cortex,17239,13513,32923,12875,9505,14283,19837,18258,11591,8503,8817,14557,22431,16838,12384,22539,6710,8568,16714,8613,23019,13731,8898,13840,4642,5820,6210,9526,3913,9418,7568,4485,17588,19472,13525,32821,13146,16498,11909,26529,24325,32040,17206,18784,20246,24994,23041,23011,10089,10429,5297,11913,15860,18170,15767,17420,14827,6749,10571,7104,16579,18330,7158,26932
LA,Lateral amygdalar nucleus,Cortex,21071,14883,30840,14770,10107,15883,20770,15823,4891,4073,6005,9059,14465,11944,8373,13408,4952,6527,11122,8496,15260,10130,4979,9093,2601,6499,7455,5964,5902,4053,4805,7225,17407,11380,10143,17260,10775,9257,11319,18977,11516,14646,9630,10581,12377,13494,12941,15310,7652,7722,3568,8289,11084,12256,14282,12296,8378,6606,6875,4452,14801,10205,8009,16444
EPv,Endopiriform nucleus ventral part,Cortex,4586,5194,9594,4657,4463,6417,7672,5438,5842,3011,3574,6703,10397,6109,5499,10326,3448,4398,6609,5477,9002,6535,4851,6259,2892,3549,2660,4930,2915,4381,3247,1464,10438,9082,5323,17369,6668,10177,5948,14331,9252,11063,5521,8522,6600,10424,8766,10653,3681,3492,3174,7584,4627,4916,4993,5196,7929,1907,5282,2970,8491,7956,4067,13458
EPd,Endopiriform nucleus dorsal part,Cortex,15187,15857,28328,10807,14027,16904,20583,11096,9425,11013,9799,13296,30759,13973,13981,30474,6913,12249,15748,19130,18044,9231,12480,10751,6523,8377,7908,7731,6987,11027,6651,5685,14767,13154,14125,24581,18681,26695,21331,43243,40244,42829,27078,34151,37151,36313,32061,41836,8153,9291,12555,19391,8213,10865,10053,8392,11421,6513,10041,4883,14281,13526,6067,22720
CLA,Claustrum,Cortex,8503,7302,22184,5180,7935,6274,5138,4262,5108,4840,3433,6791,15007,5739,6827,17674,2520,7308,6246,9445,6325,3689,5140,4302,4501,3954,4131,4665,4241,5116,3360,2873,7588,5775,6594,10604,10589,11424,11183,19814,17428,16463,14344,14992,18955,15110,14709,14158,5191,5698,5048,11622,5930,5530,7447,5669,4495,3040,3526,2252,4184,6104,1530,7966
VISrl,Rostrolateral visual area,Cortex,12726,7503,45768,19852,4045,18116,15946,15699,8004,2149,13170,11317,39178,11309,19464,12365,6802,10500,13782,18971,7480,8322,7719,3431,5578,12990,6862,9928,6820,9128,9381,5135,5733,16018,6575,21713,15827,26132,15654,37656,33762,25353,22252,28319,23780,30834,30915,32923,5898,21685,5939,23639,11682,11853,4112,9874,24639,16365,14962,2315,9925,1309,2356,15010
ACAv,Anterior cingulate area ventral part,Cortex,32878,23837,40957,9665,30371,20378,19501,25377,22414,16034,23677,42901,61112,24291,25286,58479,21642,34358,37213,47534,29358,45946,27729,19907,13761,19008,28688,13240,17864,31300,30760,20514,12179,20381,5205,32369,37911,51266,48306,90853,59765,56521,46743,51575,54527,58639,60869,52207,25003,19977,16667,43647,13700,10229,4873,6002,33301,26982,23893,8389,13068,5379,3778,7379
ACAd,Anterior cingulate area dorsal part,Cortex,39907,37754,57858,9941,32237,25627,15689,26178,33176,13341,17327,48644,55682,20163,38143,71236,20844,26754,36156,34487,23911,30735,30813,17967,17818,14959,13732,7640,13548,31875,26935,14884,11156,36608,9382,51893,46957,59626,49341,97051,72103,72523,69511,74189,61916,89511,81123,82271,23424,26450,14403,40189,17655,14856,5607,11703,46386,43149,25929,16456,14106,7760,1643,6156
VISpor,Postrhinal area,Cortex,23235,14606,25553,27802,11889,17053,16174,30683,12853,2601,26303,33255,37271,25470,39034,41628,16372,19737,17113,17639,22167,25316,12060,15943,7679,19128,5823,13370,10568,10643,13747,7699,26270,35442,33130,57098,35519,27388,25751,39454,30182,32869,24433,35000,25665,30458,23616,31759,7593,20314,17530,15873,28891,20998,17636,23257,37994,30658,24996,8671,17713,8792,13237,23242
MOp,Primary motor area,Cortex,123382,112026,267929,95476,79905,112433,72336,69578,42977,50688,47441,64399,111008,35646,87895,204373,22448,29032,51657,37355,23117,28996,34492,23436,10702,10772,14106,15187,14047,47347,25658,20645,16337,38806,23877,169985,68470,153370,46929,147157,224465,147500,154598,203316,158499,176760,207302,176521,49421,96929,63217,134238,52604,87817,50452,53127,72177,55135,63789,12246,23073,24735,7720,34163
MOs,Secondary motor area,Cortex,128409,135730,252882,74771,82268,111882,61920,65359,58943,40644,36000,93231,168523,36044,105080,238781,29294,32627,38551,51357,41726,51719,46119,28183,19018,18305,10310,14067,18124,34972,27545,27219,21356,89253,19938,151803,96142,176708,73052,176675,241117,176931,175480,230262,160197,209692,215454,230956,44323,111848,54460,117874,49330,81337,35550,73876,95855,88626,94789,46415,38427,60616,6509,40989
SSp-n,Primary somatosensory area nose,Cortex,61692,61713,103780,36975,36727,69722,34591,14385,12071,7822,24751,34977,56978,16634,34866,94594,9605,9450,6602,14892,10992,18834,14649,9476,1034,1696,2809,3083,5438,11919,6304,3192,3587,11094,5557,62507,10020,55319,23041,51842,39155,45201,25405,43680,29081,42873,50807,47528,11137,26122,33130,62893,19481,20106,14961,18902,48390,28671,26789,5174,21163,10635,1407,19633
SSp-bfd,Primary somatosensory area barrel field,Cortex,121420,85471,204473,141871,41893,143949,83227,78824,31412,17353,44110,82472,152131,66079,80604,145751,25327,28402,47450,75956,34525,43044,36482,22174,6260,18167,20914,19499,19168,32627,38885,19774,12274,63573,12769,86846,60010,103080,65402,123400,163171,125215,92915,127582,112069,156027,163789,156378,27148,81745,30265,129844,36340,42954,19948,37339,106089,99070,92737,11382,43391,9311,3379,39121
SSp-ll,Primary somatosensory area lower limb,Cortex,34445,29717,42699,24140,14456,28929,17256,23705,15326,6484,15475,14156,23720,17466,17991,46614,8073,15906,26476,20663,5828,11565,11834,6053,6574,5054,7354,5040,5606,16575,12077,5341,4634,12888,1142,22521,29723,51279,19273,51555,80204,57111,50707,67244,61257,64707,70869,78541,7243,17705,8835,33127,6758,10269,3912,5602,18826,20000,23378,3343,4642,1963,194,4230
SSp-m,Primary somatosensory area mouth,Cortex,63685,70216,145697,44073,45546,75629,52389,37267,21844,22532,36145,71182,97749,49410,77216,165430,15559,20005,14353,11407,20389,21134,14154,23726,2054,3132,8258,8250,6058,18553,9156,7882,5842,14586,16946,160856,35406,85067,29596,91993,86646,57222,57584,92293,61880,76798,88277,56674,27083,61565,36644,94519,37146,83561,42409,52393,34456,36904,29891,8496,33825,29528,4169,32209
SSp-ul,Primary somatosensory area upper limb,Cortex,51967,67918,82779,53740,26942,45017,27743,27518,13218,12101,18341,29718,38172,15806,20125,86183,7867,12860,29105,24602,9600,12656,17921,6434,4246,5245,7856,4343,5911,17208,13858,7064,2578,6774,1194,34634,25211,59025,19576,53971,100482,63039,58399,91081,80806,82008,97623,83491,13593,33042,23523,48648,11668,10539,4197,6333,35760,33455,29703,3559,7738,2823,206,6175
SSp-tr,Primary somatosensory area trunk,Cortex,19290,14425,26920,16480,7076,14643,8727,13114,4372,2945,5512,9450,15615,11094,7715,13334,2480,6925,20046,11743,6575,8108,5993,1305,3659,2789,6357,3940,3479,7281,5819,4630,5238,12103,2093,25790,23230,34799,18933,31695,38923,26690,23203,33455,26532,30637,35614,32193,3723,8928,1168,13195,5717,9327,4064,4948,8994,16160,16467,488,8617,3183,402,5299
SSp-un,Primary somatosensory area unassigned,Cortex,21649,20570,32736,26281,9428,18779,10654,10689,4053,3676,5972,11159,15751,6365,9812,32131,3351,3620,9520,11380,3767,4560,6358,1862,1369,1926,2687,2336,1786,7029,5498,1998,1085,3354,438,13925,8274,20578,7233,21423,31740,24868,17021,23060,22730,27309,31270,27861,5355,11625,7527,20005,6809,4203,2387,4075,15389,10331,12948,1860,3880,1167,123,3011
SSs,Supplemental somatosensory area,Cortex,141503,107219,271662,111210,81068,198218,111217,106649,44042,37022,100480,102036,217701,60886,121467,262539,33567,47341,51632,72065,66595,44411,48389,40486,7444,22613,20623,30595,25473,50715,29841,20850,35675,61760,79610,245465,84650,161371,85795,143177,192901,163212,124324,203305,143001,170288,187732,175800,50761,68457,64477,167455,88001,162059,102633,120884,99546,80092,80057,29746,48976,35475,24164,95157
GU,Gustatory areas,Cortex,15676,17434,62684,16141,15876,25335,18438,22746,14545,10610,13166,31590,37986,25310,26081,44096,9653,7246,8974,8188,16495,10954,3763,13831,1894,4646,3967,8283,4669,4271,969,2718,8444,7136,10404,28435,14010,20662,13895,27258,33781,34579,26185,38061,31352,28096,30225,31178,6326,16325,12853,26719,22023,48249,36172,38596,8914,8987,10942,3350,22044,17989,10128,20312
VISC,Visceral area,Cortex,25993,17184,57571,22456,17063,33116,25406,28446,16983,8578,23490,26891,49318,20723,23711,66753,10550,10155,7714,13932,20716,13182,8274,14303,1550,4346,3277,6247,4773,8393,4601,4665,13920,8463,19191,55528,12994,23048,17040,27139,34478,41608,22717,38245,36400,32495,30768,41404,11322,18743,19697,39400,26058,38332,33726,27235,19704,11489,9572,7075,18840,16039,7360,26265
AUDd,Dorsal auditory area,Cortex,22772,16216,34079,22246,10440,34142,23800,21071,6841,4110,16813,13085,44764,13512,22167,28489,6751,14967,16190,21675,18689,5149,12212,6969,1452,12171,8680,11592,7931,11387,11027,5326,6617,18026,10695,38777,28134,28889,20782,35037,35019,27342,25159,33631,26893,31535,28809,37210,10003,12937,5173,30160,28714,26511,12344,25801,34061,17247,20279,5558,13243,2104,6688,26176
AUDp,Primary auditory area,Cortex,42084,33729,65480,35969,25903,60412,44722,51503,21352,8643,46313,45516,104447,39526,57737,77386,23934,41748,49702,51409,66763,25741,23177,24248,3744,34013,20756,32133,21137,15546,17289,11272,25247,40366,26075,80690,43374,44253,39539,69528,61838,52273,42872,64491,51705,52262,50628,65788,19193,37098,14083,58893,70638,48083,68077,63087,70060,45949,37396,13819,28532,6491,12521,69088
AUDpo,Posterior auditory area,Cortex,10473,6842,19812,9591,6034,17702,10188,12693,2489,1624,15868,10371,28511,12099,17043,17927,6297,12241,14483,15821,14608,8014,5960,6432,1540,8818,4686,9825,6832,3251,4701,4538,8159,14481,9553,19229,15077,14359,13009,18867,17401,15530,11782,17643,13498,16149,15422,18520,4647,10164,4304,17651,18119,15433,16015,14071,25363,10323,12086,2936,9342,1794,5723,16404
AUDv,Ventral auditory area,Cortex,34092,36992,55101,37897,25708,46928,54070,43402,15038,6722,35363,44192,72659,33137,42715,62012,16432,29938,33377,37660,59498,30463,17095,17741,4658,25299,17886,18397,21320,15183,14022,10853,36684,36208,43511,65956,38795,34579,31954,49896,47767,44483,32523,50015,44825,39854,37616,53702,15416,31911,16672,42490,49974,42684,54190,52019,42678,33289,26437,13115,26219,12481,11845,64655
VISal,Anterolateral visual area,Cortex,10215,5510,25300,8788,4319,18696,11877,10901,1594,1761,15612,9944,33937,10998,17929,13287,7365,11089,9494,15097,8363,5463,7560,4387,3718,9259,2980,12030,9402,5043,9886,4726,4581,16499,4277,18982,15833,18272,16309,29136,25489,21104,20561,23904,19485,25002,22039,28903,6277,9504,5065,16605,12162,13097,7447,11057,36413,11604,12342,2163,5499,1911,3351,14103
VISam,Anteromedial visual area,Cortex,9532,4986,18799,8558,3427,6991,2265,9101,7796,1057,3867,11231,20210,5662,8267,8131,3861,11531,10258,12154,6068,16901,5972,2226,3914,7302,6033,3769,3607,8808,10442,4720,8140,15271,7517,26470,17466,24483,14874,21861,27116,20178,18227,23383,16821,23148,18977,27209,6751,14282,3402,12010,9708,9970,6713,7661,12842,12363,16149,1433,11695,3324,2464,7818
VISl,Lateral visual area,Cortex,13000,8893,30721,27353,9011,21322,14762,24499,9250,2717,30143,32157,56276,37379,35731,50424,18498,21501,23997,25612,18626,16177,12179,11785,9252,17759,7463,23308,13264,9862,25025,10936,13292,36765,19067,35832,27524,31051,29658,51548,42530,36959,33669,42142,38569,44864,40045,42255,9539,28724,13188,26334,21852,22472,14485,19134,67034,30480,30304,9411,17648,6233,8171,27497
VISp,Primary visual area,Cortex,68516,30504,205459,106574,24118,81074,39079,114173,61364,12726,111361,137109,251583,178026,161573,194834,109963,76965,99049,144551,59377,97775,54509,50188,41476,84310,45156,73130,40976,61341,93332,58239,78339,153073,72036,275032,141300,198392,132887,327059,242774,202890,157031,229128,186549,225809,223199,229016,32273,194270,70699,115307,93822,95208,50422,67158,203464,190149,158173,40531,79044,25383,26324,93645
VISpl,Posterolateral visual area,Cortex,10733,6372,9322,7594,4340,5247,2914,15066,6264,1216,10480,14208,19212,15034,19612,18362,10058,10353,11518,10076,13630,11577,8280,4777,5147,11347,5175,6223,5844,7826,9723,5568,10704,15390,11917,28168,17587,15119,16431,31062,15768,16319,13102,18321,11296,16362,13677,17741,5519,11349,12231,7766,8413,4384,3645,5965,16655,17160,13655,5412,7628,4328,5109,7855
VISpm,posteromedial visual area,Cortex,14177,9394,30388,9813,5691,11042,3250,13155,12659,1420,10060,12794,34133,11964,13403,14079,11294,16298,13287,18771,6121,19932,8147,11458,9054,10272,10135,7866,7144,12062,15223,7606,15547,33368,12312,50609,25758,32768,22669,37412,34466,30004,23396,33922,25038,28892,32092,33859,8225,26421,10745,18821,15676,20418,11628,13591,19178,21867,20081,6143,16134,7545,3723,11845
VISli,Laterointermediate area,Cortex,7321,4272,12086,9220,5475,10298,9536,12056,2432,1136,14018,14638,21180,15224,15629,20563,7673,9151,10400,11258,8946,7015,5299,5281,2939,8231,3768,9004,5649,3057,7845,4168,7127,11751,8768,25162,12658,14567,11119,19204,15748,13563,12081,15225,14286,15187,12838,16108,3819,9754,6219,10993,12979,12013,11153,10280,23906,12097,12541,4595,8353,2832,4215,12914
TR,Postpiriform transition area,Olfactory,2031,6002,14445,3874,6459,8736,12465,6196,8257,2575,4681,9983,11176,7994,7576,13844,5616,3297,6002,2953,10041,8987,2632,8707,2536,1857,1492,3706,2432,3062,2236,986,16551,20447,10833,20009,7543,8745,7237,11768,8523,12951,7749,8660,6753,10828,8421,8450,1551,3864,6233,4565,8795,5880,11679,7685,11417,6373,5904,4653,10822,11870,11145,14662
PAA,Piriform-amygdalar area,Olfactory,1852,7433,14991,4711,5548,5377,11807,2721,5471,939,2773,2911,12282,6844,2430,5815,3038,5432,5209,2673,10416,3506,2945,4280,2618,1949,1309,2206,1564,776,1644,413,18939,13525,15894,31560,7342,7213,7087,13604,7628,8892,6166,8789,8236,8886,8546,9839,1259,3439,1141,7043,10680,8923,10736,11012,11823,3856,4625,2685,15658,17353,10776,23156
MOB,Main olfactory bulb,Olfactory,90487,110411,307336,60030,132458,122349,220162,101010,87904,55656,124344,118167,260956,156582,168268,247692,111901,119995,75204,162267,151965,170729,54468,107077,91344,127044,26459,102004,79869,45288,73856,32430,221284,92455,257368,224505,54317,87564,103210,80833,87678,86364,51615,65180,103376,94015,88995,71867,56628,80673,99779,132054,54208,233549,23484,91411,53841,122826,95576,66900,7210,111650,106127,468297
COAa,Cortical amygdalar area anterior part,Olfactory,1602,8256,13308,4378,6152,4810,10182,2622,5446,897,3851,3606,15755,5748,2696,8650,3018,7172,5469,4850,8503,3551,5552,3749,2854,3267,1727,2843,2416,814,2593,376,23306,26670,21584,29743,7137,10494,8639,12655,7455,9501,5527,7536,8758,8649,8987,9124,1082,2773,1837,6313,12803,8085,10267,9439,12155,5424,6606,1912,18708,18075,9013,28784
AOB,Accessory olfactory bulb,Olfactory,6070,2978,13733,1630,6800,9246,20950,5445,2670,3707,4150,4880,11337,4820,10699,23149,5443,6116,2725,8025,8153,6362,2311,10803,4817,3324,1307,5923,1509,1524,3674,1364,15457,7279,10409,9905,2667,6434,5397,3205,5556,4479,3050,3539,4242,4374,3507,4866,2407,5295,11418,7179,2264,6032,1453,4061,3910,9724,5147,3519,2722,7833,4073,21129
AON,Anterior olfactory nucleus,Olfactory,42831,31836,94290,23708,61669,59286,54089,26246,38467,37364,34544,76848,91402,43432,87583,147005,34457,41706,70682,67084,71136,59632,35492,32047,25503,28400,29486,35675,33789,29568,30817,10178,68625,72022,89086,107992,67788,82731,73571,110256,71098,101158,71795,82612,73030,69059,81167,77963,19259,47732,48840,67820,20360,58641,24373,33064,88052,39347,66255,23746,35751,94275,64548,169043
TT,Taenia tecta,Olfactory,9132,6805,21462,3009,15701,13860,6382,5140,4008,15560,2455,12637,15251,6634,12201,14122,4039,7706,9601,9622,14809,10820,5409,6109,3298,5211,5727,5484,5141,5387,5238,2785,13054,11284,12878,14543,7663,12199,14241,18457,13243,16205,12082,11340,13326,13457,14453,10635,4607,5767,6914,9690,6320,9602,4171,6427,10996,3242,10808,2181,9053,20186,12242,23162
DP,Dorsal peduncular area,Olfactory,4812,2777,10858,703,6903,5073,3198,2369,1630,6374,1406,3319,9068,2832,3528,7210,1757,4466,4929,5206,7643,6275,3141,3464,1156,2481,2909,2864,2435,3189,3149,1690,4348,3164,4110,4929,3966,6863,6041,9477,8608,8648,6762,6410,7023,7103,7886,7706,2896,1734,3034,4395,2478,2654,1356,1437,4682,2162,3766,947,1548,3216,1499,6218
PIR,Piriform area,Olfactory,52015,100356,226239,88609,88224,133879,141471,85456,78066,44663,80692,124573,211324,107822,114737,197658,75837,80559,69863,99527,160561,95342,57716,112153,49185,53101,36801,48969,55209,37080,35972,18140,189172,136046,153254,380256,143914,166211,146396,271057,147607,163614,137694,157090,152235,145978,127742,166590,27306,87762,68762,122127,77572,127425,100780,98634,198245,73480,123232,56072,184943,140271,105257,275876
COAp,Cortical amygdalar area posterior part,Olfactory,3560,14522,27351,8888,12851,14908,30274,11157,12027,4907,7213,14370,26169,17127,11007,16515,8257,7506,12969,5701,17894,13622,6568,15831,4353,2379,3104,3754,2488,1323,3587,990,39933,31537,26365,51908,13054,15165,13645,30105,19258,21392,19687,18598,17511,25282,21067,25503,1802,9014,4579,9879,17655,11823,17964,11842,22673,7498,20603,6146,25178,19356,18045,37591
