abbreviation,region name,brain area,5MEO1 count,5MEO2 count,5MEO3 count,5MEO4 count,5MEO5 count,5MEO6 count,5MEO7 count,5MEO8 count,6-F-DET1 count,6-F-DET2 count,6-F-DET3 count,6-F-DET4 count,6-F-DET5 count,6-F-DET6 count,6-F-DET7 count,6-F-DET8 count,A-SSRI1 count,A-SSRI2 count,A-SSRI3 count,A-SSRI4 count,A-SSRI5 count,A-SSRI6 count,A-SSRI7 count,A-SSRI8 count,C-SSRI1 count,C-SSRI2 count,C-SSRI3 count,C-SSRI4 count,C-SSRI5 count,C-SSRI6 count,C-SSRI7 count,C-SSRI8 count,KET1 count,KET2 count,KET3 count,KET4 count,KET5 count,KET6 count,KET7 count,KET8 count,MDMA1 count,MDMA2 count,MDMA3 count,MDMA4 count,MDMA5 count,MDMA6 count,MDMA7 count,MDMA8 count,PSI1 count,PSI2 count,PSI3 count,PSI4 count,PSI5 count,PSI6 count,PSI7 count,PSI8 count,SAL1 count,SAL2 count,SAL3 count,SAL4 count,SAL5 count,SAL6 count,SAL7 count,SAL8 count
NLOT,Nucleus of the lateral olfactory tract,Olfactory,579,1710,2876,1224,1983,2180,2269,809,1290,692,1461,1500,5181,1234,1528,3415,1255,2383,2140,1730,2147,684,1680,1195,660,1066,986,869,883,430,1094,150,3758,5347,4129,5671,1805,3860,1828,3329,2676,4210,1823,2641,3251,3333,3324,3631,158,908,496,1510,2123,1762,2109,999,3838,838,1941,551,4095,4679,1259,6943
ENTm,Entorhinal area medial part dorsal zone,Hippo,20883,15212,28146,8755,11592,25027,10880,33264,8865,13569,33838,42072,37071,26856,39253,41190,21968,26236,39059,23693,34411,37990,25395,19465,19200,23224,15965,21084,14249,22852,21692,12371,50942,71213,57222,115965,63410,50438,45548,72398,54057,74243,40181,54498,37371,46437,46003,54804,15241,13788,27846,14591,30247,24610,15222,36247,53153,14944,32277,14289,38341,25681,28959,74802
CA1,Field CA1,Hippo,55579,20339,78476,21151,18854,45070,82610,37349,17786,40937,32437,40010,125353,45245,45716,56633,26540,31790,65738,48150,83201,60398,54285,31423,15689,23590,34159,26453,27927,49972,31403,33457,43011,52131,57978,86527,47279,67734,60892,95328,108012,116678,60109,91106,100917,119024,88361,119082,33236,41442,18785,45587,28749,21137,33969,28786,78344,55024,34756,21730,37066,25826,15618,51606
ENTl,Entorhinal area lateral part,Hippo,26830,36594,72309,30019,28622,56688,47171,54810,59721,17536,57961,73099,106471,42207,65337,99883,52529,31185,31670,38905,59070,81909,30190,39324,22870,24533,12881,29412,22605,32016,24470,13187,81103,74895,93515,159043,85864,87505,70968,96984,77925,100887,71714,82819,74009,83636,67332,99745,13161,37804,44165,35327,42148,37611,34180,44778,116567,45367,52326,31289,65660,42546,37871,107939
CA3,Field CA3,Hippo,27295,15666,32112,9077,11042,17475,31921,14485,9013,37797,10153,15717,55199,13997,13294,21260,12860,15432,27492,18632,25982,23232,22767,11063,7373,11171,14108,11325,12201,22223,14575,12403,16889,18016,14615,25618,21068,32445,23941,42128,53305,55669,32345,45652,50012,52682,37544,54259,13762,17381,6054,19341,14509,7407,10053,7548,19499,17896,12505,7275,14481,5059,4101,16570
DG,Dentate gyrus,Hippo,17434,7123,17640,8404,6174,10114,19420,12126,8487,44884,8455,10210,37551,9290,8843,12672,9185,8484,16950,10668,14584,19193,12568,8427,5415,5236,8096,3668,7968,12180,9086,8287,23168,28026,19025,34191,18689,16907,15586,21441,28585,29010,18383,27271,25244,27297,28015,27760,11246,15432,5328,10560,19401,9925,10624,12622,16803,21193,10551,7208,17016,8196,8122,18634
FC,Fasciola cinerea,Hippo,408,198,713,76,106,140,160,324,44,367,18,6,94,10,74,64,15,104,78,48,25,3,20,3,25,20,33,18,22,2,31,27,124,81,10,86,78,103,62,131,638,733,317,557,657,835,427,447,14,32,13,69,176,24,45,136,25,10,43,37,114,6,34,25
IG,Induseum griseum,Hippo,448,403,432,166,185,98,1039,231,63,1080,886,186,202,52,91,256,39,383,202,294,2157,220,181,76,38,39,142,59,124,70,79,89,24,29,52,19,41,126,207,324,578,334,235,504,482,674,1073,442,42,59,98,152,16,5,24,13,76,28,18,264,15,22,3,12
CA2,Field CA2,Hippo,2184,812,2539,586,615,1440,2888,1090,765,2370,797,1082,5549,980,1406,1360,1101,917,1751,1147,2072,1449,1443,751,341,784,1029,690,679,1611,874,1188,676,775,614,1323,1042,1726,1611,2212,3477,3657,1818,2833,3296,3908,2627,3794,877,1400,517,1177,756,422,643,384,1471,1320,822,560,657,267,215,1066
HATA,Hippocampo-amygdalar transition area,Hippo,2046,3642,6966,686,3604,2802,3020,2828,1560,1298,3356,3682,4631,5070,2303,5960,1707,1337,4829,2558,3739,3519,1778,2197,2080,1375,2468,1465,689,786,2693,522,6147,6480,5095,12241,4156,4569,4747,11155,5150,5829,5121,5919,4116,5150,5372,5123,1517,2298,745,2589,3527,2809,2411,4139,6159,1167,3357,2075,4642,2737,2255,8365
ProS,Prosubiculum,Hippo,8348,5088,20767,7225,3332,8855,11408,6832,7447,4972,8494,9957,22350,9883,6959,16894,4584,6524,10758,9483,12505,7997,10892,6571,3051,3606,5284,3854,4327,7888,7317,4930,9082,20885,16708,23582,8621,13318,12046,22951,17444,19218,13153,15155,17943,17822,16667,18292,5974,7845,3870,8911,7639,7434,7530,9628,17718,12825,7510,6444,10832,8193,4249,11437
SUB,Subiculum,Hippo,12040,6528,17391,9085,3252,9495,11642,8378,8872,9006,10521,18190,34090,9049,10545,26997,5877,12032,17211,14519,16513,11236,14358,7817,5626,6317,7808,6026,6783,12023,12642,7580,10186,25614,17788,32892,12988,24952,18298,33648,30139,31513,21683,25178,25504,27744,28293,28700,7700,9715,4904,11252,8034,9046,4294,12923,27403,15950,13824,6276,12297,9870,5917,12549
PRE,Presubiculum,Hippo,3427,1864,6526,1943,1030,2636,3046,2795,1359,5174,2538,3630,2438,8139,3805,7907,1913,6893,9161,9289,5137,5990,6353,2487,2299,4285,5418,2339,3669,4482,10417,5107,6960,4282,2954,12474,4647,10312,7561,14692,9044,12290,6452,7131,6294,8745,7653,10912,5603,7166,810,5928,3482,2286,919,3981,8665,6542,10823,987,4239,1505,1207,4884
POST,Postsubiculum,Hippo,4632,1345,7764,1754,1845,3578,7789,4460,4197,4654,2284,4981,26096,10945,6536,8564,3778,10150,10152,13679,6365,8697,6142,2142,2326,4851,9045,2533,5295,8477,15182,9288,5252,3473,1646,19134,9521,19334,14771,26633,18744,20081,15343,17784,15351,21778,17170,23436,5619,7556,2517,8279,2595,1981,489,3167,12975,10933,12162,1261,6795,495,120,5597
PAR,Parasubiculum,Hippo,4199,1476,5586,1492,707,2105,2055,4915,923,4074,2454,2815,1644,3835,5423,4626,1623,2768,5911,3937,6517,5070,4170,1758,1378,3290,4282,1866,1427,3734,5983,3989,5290,3311,3877,13601,6647,8085,6152,9000,10988,11212,7498,8381,6397,7703,7634,10287,3547,4110,3188,1943,3743,2358,681,2587,5062,2824,6876,769,3321,971,1361,5950
APr,Area prostriata,Hippo,2405,831,2407,458,1005,1771,1579,2226,2324,1002,1441,1035,5260,2867,3769,2042,1286,1507,2618,2661,1959,2365,1720,1033,599,1758,2581,796,890,1880,4974,2161,1513,1575,1104,5580,2020,4418,4599,9628,4531,5253,3877,5940,2848,5485,4511,7036,1351,2965,921,1746,1663,654,547,908,1720,3928,5412,436,1929,341,249,2599
GPe,Globus pallidus external segment,StriatumPallidum,3249,4199,10089,2146,2375,2389,16633,1771,2828,16850,2069,524,8695,2422,708,2704,438,1329,1439,1859,1653,650,743,271,127,441,942,677,458,366,827,916,457,243,357,1213,1114,2965,1643,3595,4901,4189,2144,2894,4646,3538,5093,4262,1292,3005,569,1661,924,1105,830,459,499,1863,338,248,590,676,86,1186
GPi,Globus pallidus internal segment,StriatumPallidum,505,753,790,262,473,509,715,312,113,3388,398,472,785,774,235,957,70,314,442,296,439,228,300,115,57,146,210,311,101,228,167,166,124,95,109,262,410,799,269,608,631,636,226,321,605,409,649,434,336,166,207,799,296,577,240,200,356,89,162,14,190,316,18,470
SI,Substantia innominata,StriatumPallidum,11768,17182,24312,9775,16529,21059,20583,8824,4383,14684,8896,12504,24710,13011,18407,26169,6887,7022,7665,8182,9226,11343,6066,7460,1465,3228,4367,4180,3783,3526,4607,3182,6075,8130,5271,11694,7212,17684,9632,14390,16074,21168,13299,16546,18409,14172,22286,17798,3677,4950,8104,11361,3962,11580,6870,4232,8496,3822,8531,1841,8396,14137,3296,16324
MA,Magnocellular nucleus,StriatumPallidum,1114,1783,2221,1358,1809,2057,1673,656,274,979,446,555,3089,743,1484,2352,551,829,858,846,1271,591,802,667,93,434,445,430,461,364,582,159,295,433,480,509,404,2688,490,1209,1238,2310,719,1308,2413,1620,2026,2115,150,655,535,712,104,684,278,376,941,355,665,73,310,1342,77,1785
BST,Bed nuclei of the stria terminalis,StriatumPallidum,11547,13799,22780,14899,15942,11037,17010,8998,4297,15606,10440,6314,26894,12260,7880,18877,6565,6289,8850,8984,10489,11848,6576,7123,2322,4780,6624,4827,4311,6064,8736,5906,13021,13049,8901,23972,11599,14404,10220,18885,12798,15117,12354,14935,17585,11650,15925,13006,5980,6708,5842,14274,10437,13473,9989,5426,10336,9089,7429,1651,18505,10316,3459,17624
NDB,Diagonal band nucleus,StriatumPallidum,1743,3260,4796,1900,4159,4865,1427,1643,482,4205,925,2908,3317,1743,2734,2636,1174,2312,1596,1655,896,1194,1151,1534,794,1836,1288,1153,1627,1152,1847,507,1042,1941,1413,1846,1142,4264,1844,3671,2372,4068,2336,2378,3234,2408,3984,3495,248,707,1062,1528,216,1578,991,836,2514,636,1376,345,857,3090,928,3524
TRS,Triangular nucleus of septum,StriatumPallidum,1516,1937,2208,401,1534,684,2099,841,1024,7112,1143,1942,3455,906,1788,1367,883,1469,1574,1502,2121,748,992,385,550,432,809,540,872,665,894,669,542,428,143,1028,1545,1671,2056,2435,4035,4692,2691,4089,4918,4102,3812,4076,908,724,851,1847,716,678,163,462,1227,1202,630,488,341,172,160,697
BAC,Bed nucleus of the anterior commissure,StriatumPallidum,29,42,15,3,60,21,13,0,19,118,43,16,68,2,14,27,2,19,47,10,0,8,43,6,3,16,6,8,10,38,30,23,24,38,67,48,12,62,27,60,71,91,40,57,93,52,88,40,11,9,16,30,21,32,40,29,6,15,47,7,34,18,6,144
MEA,Medial amygdalar nucleus,StriatumPallidum,10174,12787,24626,9826,19413,11685,25758,13656,8717,6772,11023,16548,41906,21395,17410,22039,6259,14065,18368,14577,22031,13602,15799,10637,6462,6913,7633,7312,7447,7108,10800,5054,57602,54743,28382,46998,15759,22796,17496,36496,16590,22207,14356,15002,21887,17825,18994,25610,5563,8942,6638,17740,24808,18245,19070,14549,17604,6463,20785,6771,54091,31392,18991,48469
MS,Medial septal nucleus,StriatumPallidum,2309,3533,3477,934,2839,1602,2144,1008,483,6278,1103,1047,6633,1174,1448,1675,496,2371,1618,1710,1926,1995,1597,763,642,1215,2060,808,1398,1621,2548,1485,2336,1931,1637,2207,1005,2772,2035,3920,3512,3273,2004,2725,3812,2576,4045,1932,725,1184,1304,1796,1226,1087,924,894,1880,1842,1435,445,759,1438,267,2700
IA,Intercalated amygdalar nucleus,StriatumPallidum,1403,1428,2407,1049,1268,1091,2606,1212,994,647,787,1348,2792,2239,1490,2543,845,1393,1979,1871,2127,1274,1761,1310,593,714,742,882,516,735,987,511,4762,3849,2945,5552,1592,2160,1555,4063,1992,2105,1215,1353,1700,1582,1761,2000,930,702,608,1162,1509,1322,1322,1143,1845,512,1284,388,3594,2918,1389,4150
LSv,Lateral septal nucleus ventral part,StriatumPallidum,11552,15212,22047,6161,12610,7761,7098,6359,3824,9215,5825,7572,19737,8012,5318,14604,6366,10145,9598,10614,7573,13082,7378,7622,6577,6138,8571,5071,5604,8613,12588,6777,14453,14534,14239,31361,13547,12275,10070,15273,14071,14549,12787,13424,17200,12856,12889,12591,6712,6441,5822,11090,13409,13228,10638,8291,11468,9672,6982,1729,14960,13194,6245,24732
BA,Bed nucleus of the accessory olfactory tract,StriatumPallidum,1,228,336,21,186,47,26,24,261,37,5,0,171,4,4,15,7,85,39,27,8,36,18,29,43,34,3,25,11,12,4,0,637,690,542,414,25,86,67,73,62,117,88,39,32,58,109,156,2,11,16,9,222,176,136,125,390,50,156,48,786,341,221,464
CEA,Central amygdalar nucleus,StriatumPallidum,14226,11733,17157,7168,7739,7963,15652,9614,6381,6635,5011,6939,16720,12315,10857,19603,1367,7202,10226,7729,9551,5814,7305,5213,2402,5158,6423,6996,3650,3980,4709,7278,11446,12854,10171,23801,8587,10762,7150,21011,14376,14295,8195,8199,13848,13385,11624,13894,9399,3770,3169,9405,11505,11468,12061,10779,3890,1419,2728,791,10187,12137,3336,10678
CP,Caudoputamen,StriatumPallidum,181237,183720,369694,69217,129312,142907,166629,128659,52313,247002,73279,139591,257638,124388,154312,305088,89871,107157,102123,103362,160734,169027,64281,103896,25523,26879,54786,57283,36829,72666,60453,45602,40823,23126,46793,78416,91307,111683,64263,94812,363942,302959,216750,287522,240080,320340,370122,338144,47304,72084,80556,127347,63225,60451,37189,36177,120386,78502,86173,13265,38934,35831,18570,64413
FS,Fundus of striatum,StriatumPallidum,2270,2448,4741,2620,2965,3046,4275,1245,1879,1551,1564,2264,4691,2816,2423,6904,743,1369,1147,2111,3651,2157,1509,1764,204,831,958,795,713,770,919,830,1570,971,1104,3073,1341,3890,1696,4272,3385,4319,3485,3238,2942,2639,3491,3030,1551,2182,1870,4029,1549,2465,2310,838,1339,451,886,110,1779,3514,691,2411
OT,Olfactory tubercle,StriatumPallidum,7293,30212,54103,13561,24285,36377,30474,18408,11112,9436,6405,17075,41851,8394,26738,39554,10348,11587,6148,11433,23731,15769,7136,13992,2697,3796,1608,4758,5485,1411,2180,717,21346,19914,17973,29239,17320,25574,20070,18347,28925,34553,33522,35505,28178,30259,40241,33496,967,7813,5836,16304,7960,22199,9743,9444,13441,8669,18814,5874,20862,32658,15578,34430
LSc,Lateral septal nucleus caudal (caudodorsal) part,StriatumPallidum,2617,2006,1998,514,1723,824,1030,1624,1282,5960,833,1798,3191,1605,1154,3222,1405,2045,1865,2120,3116,2746,2312,1620,1094,565,1273,899,1407,1124,1843,1146,1318,714,138,1332,2596,2433,1812,2760,4158,5925,3994,5186,4447,4484,2866,5366,897,372,510,2131,1298,595,222,280,2546,1158,1135,310,651,83,58,273
ACB,Nucleus accumbens,StriatumPallidum,44153,53979,91696,19947,54462,64932,41604,27476,8588,35577,23795,41098,74443,38355,64371,79798,19704,23962,30032,31448,30716,52321,19896,31632,5156,11931,19611,20567,14154,16329,15919,14182,15714,28211,22973,49538,44446,48587,37575,61401,64073,80225,62979,64753,65003,59429,70203,65223,11864,19666,29312,45740,11826,32484,20400,12130,33205,9980,28849,4958,18625,33794,6930,43167
SF,Septofimbrial nucleus,StriatumPallidum,1557,1918,3388,809,1765,999,3230,936,1812,8647,2360,853,7096,915,495,1751,663,1755,1933,1553,3787,1425,1116,508,754,627,1219,533,763,879,1120,770,1223,1075,357,2693,2209,2382,2240,3016,3932,4021,2719,3406,4553,3713,5233,3170,1052,1585,572,1498,1202,798,342,809,1929,2255,626,682,823,621,77,1180
SH,Septohippocampal nucleus,StriatumPallidum,428,466,758,59,439,184,140,220,162,515,71,176,709,107,130,106,27,241,335,100,232,214,239,83,77,29,95,69,175,132,58,81,19,119,138,48,75,102,70,150,517,370,270,301,537,417,764,265,19,192,55,83,64,32,35,29,180,78,57,76,37,117,6,83
AAA,Anterior amygdalar area,StriatumPallidum,1623,3188,4928,1626,2492,2811,2841,584,1149,1090,1006,816,4324,552,2534,3678,655,2036,2488,2315,2011,1307,1845,1212,452,1487,1499,817,1302,711,1670,463,1865,1679,1622,2774,1308,4850,2291,4267,3633,4094,1716,2669,3971,3301,3461,2821,1082,1085,1008,1769,798,1300,1557,673,1212,204,835,158,1720,2003,667,4135
LSr,Lateral septal nucleus rostral (rostroventral) part,StriatumPallidum,27875,29471,42024,7046,25658,14114,15598,12465,9506,28925,9317,17179,43314,13274,10160,23112,10117,24093,22448,20582,17764,23582,16634,12640,11327,8791,14888,10196,12326,13995,19453,12241,13059,21418,20243,32412,24802,25630,22996,33415,35512,35752,28383,29516,36849,33461,35664,30293,11135,10585,10042,18633,18624,15596,10069,12080,22649,13619,13529,4378,19934,14859,7029,26471
MD,Mediodorsal nucleus of thalamus,Thalamus,5797,6302,17883,6297,5498,6313,17144,4927,8300,24904,5192,2111,15991,3415,3598,5673,3727,6649,9061,4634,8996,7857,3699,2850,3234,2527,4819,3574,2361,3154,4797,4315,2859,7074,7112,9410,11457,11832,8862,18862,24506,23701,18939,21732,21895,23684,23294,18670,2392,5918,2445,6589,4860,2980,4093,1995,5933,6815,4425,1972,2709,2740,1355,4651
CM,Central medial nucleus of the thalamus,Thalamus,2223,2395,6430,2460,2373,1478,4736,2285,1697,5133,1611,869,2983,1408,483,1933,669,3168,3211,1858,1262,1751,1669,610,570,851,2088,936,1014,1117,1722,1109,1356,1703,3382,5642,2966,2456,2247,6025,5511,4988,4555,4399,4603,4478,5459,4297,965,1656,275,2853,908,1178,1599,710,1479,2152,1061,276,1124,1708,544,1711
SMT,Submedial nucleus of the thalamus,Thalamus,434,729,2485,766,395,847,3180,487,235,6115,670,822,2405,892,369,417,189,686,701,312,923,1104,203,265,61,103,603,120,144,269,488,214,67,224,775,723,1239,1506,479,2116,5151,3761,3725,4708,5061,4132,5858,3339,149,1138,148,667,144,125,227,48,303,1113,513,19,154,123,89,332
PR,Perireunensis nucleus,Thalamus,1296,1352,3538,1339,1108,261,3200,674,215,2339,1544,766,1510,1713,566,1026,197,1422,2237,1459,949,535,717,548,347,737,1298,808,794,969,1782,701,557,1161,1746,3635,2205,2151,1492,3328,2652,2614,2046,2170,2828,2143,2444,1645,848,786,409,1650,753,756,870,499,1098,703,988,12,756,621,252,2043
PT,Parataenial nucleus,Thalamus,2512,3424,6764,2791,3269,2772,2159,2388,2104,4320,655,1286,5842,2176,811,2922,1384,2144,2872,2436,1838,3912,1896,1339,988,1842,2295,1545,1197,1756,2511,2144,3049,3435,4491,6108,4160,4123,4621,5704,4171,4994,3724,3780,4590,4068,4084,3906,1257,1663,790,2680,2574,2363,2854,1151,2928,2769,1825,307,2325,2307,2411,4543
RE,Nucleus of reuniens,Thalamus,2117,2153,8469,2886,1917,1896,7065,1516,1431,7308,3141,2357,5903,2739,1631,1705,833,3037,3835,2516,2486,1503,1889,938,406,769,1834,801,836,1875,2650,888,1508,2854,4667,6660,6129,4477,3640,8373,6355,6144,3867,4455,6157,4969,5452,4219,793,2050,848,2832,1063,1178,1300,611,3574,2106,2665,138,946,1551,565,2974
Xi,Xiphoid thalamic nucleus,Thalamus,673,879,1924,1052,797,516,1617,769,314,1539,781,413,1053,794,627,788,197,1020,1096,905,401,227,913,440,201,390,945,330,487,549,765,390,1356,1413,1884,3073,1306,1253,1209,2552,1673,1334,1352,1126,1503,1281,1584,1265,430,260,343,1040,657,697,379,465,1012,428,539,15,621,992,353,1711
RH,Rhomboid nucleus,Thalamus,669,985,3021,946,710,638,1632,914,537,2100,492,477,1479,359,157,689,218,1153,1132,843,418,419,542,228,179,330,629,249,223,241,486,343,390,966,1608,2569,1200,938,899,2974,2067,1797,2089,1593,1583,2094,1969,2081,286,368,140,1100,462,459,748,344,722,555,192,47,264,286,184,728
PCN,Paracentral nucleus,Thalamus,485,625,2899,953,378,349,2083,559,225,3734,256,160,990,270,194,437,209,567,986,328,740,747,266,214,172,251,369,140,186,229,378,304,176,347,528,780,1092,1840,810,2315,3883,3108,2727,3806,3375,2992,3747,2243,147,567,61,765,182,139,117,123,241,1096,373,26,267,117,114,535
IGL,Intergeniculate leaflet of the lateral geniculate complex,Thalamus,860,1023,1418,216,323,656,532,758,306,648,347,545,859,794,106,941,136,603,1434,839,210,504,904,447,625,597,834,469,679,806,671,1026,718,171,257,837,908,958,775,1515,905,1070,728,1111,1188,961,928,1046,917,523,333,622,417,304,35,278,681,590,784,324,482,138,52,691
PF,Parafascicular nucleus,Thalamus,1529,1685,3493,938,1314,2029,2953,1478,1477,7430,450,648,3001,1698,932,1182,906,1558,1921,534,1277,1911,1006,336,464,631,640,451,501,1044,1406,585,509,366,376,1594,2154,4219,1923,2637,3356,3650,2248,2826,2641,2715,2606,3060,560,865,566,1525,814,184,376,139,1526,1958,1112,147,614,455,184,498
PIL,Posterior intralaminar thalamic nucleus,Thalamus,3582,3950,6035,1512,3670,2584,6088,3431,420,2105,1441,811,778,1688,786,1274,935,1583,2660,2818,720,1653,1255,1410,728,1276,2193,912,1449,1031,1482,1642,2241,1380,2964,3273,1802,2313,2296,3422,2392,2632,1521,2077,1573,2566,2016,2852,2067,1369,1090,2031,2507,780,2117,969,2598,1232,1351,586,1791,1370,538,3026
RT,Reticular nucleus of the thalamus,Thalamus,2279,2609,4248,1177,1549,1117,8087,1352,1352,18481,1802,857,3902,2328,885,1310,421,955,3836,3097,2306,1500,1510,848,461,876,1735,1547,1336,1468,2096,2585,899,376,590,1151,7027,4052,2538,3976,8010,9005,2652,4834,5985,5241,5973,6904,3115,1147,678,4145,566,1303,977,315,1266,1066,889,301,753,479,249,1505
IMD,Intermediodorsal nucleus of the thalamus,Thalamus,1760,1806,3868,1295,2210,1789,2604,1694,1647,3347,1124,640,1737,1101,1412,2718,653,2984,2599,1409,1056,1284,1838,332,870,994,1197,766,867,962,1573,1185,1032,1632,2778,4586,2681,2847,2028,5135,4063,3586,3143,3178,3269,3257,3668,3674,996,793,551,2767,1052,742,1047,854,1459,1847,1018,343,977,1849,243,1582
IntG,Intermediate geniculate nucleus,Thalamus,260,337,350,7,141,204,97,118,107,249,159,137,246,183,2,105,18,174,358,227,33,64,207,76,133,187,304,133,186,254,262,300,71,19,52,114,189,403,288,563,373,405,316,444,372,367,380,377,208,152,95,240,85,77,37,40,168,146,100,34,28,31,18,129
LGv,Ventral part of the lateral geniculate complex,Thalamus,3694,2927,5233,1044,697,2640,3330,2437,1321,3732,1907,2161,2834,3051,1466,3373,809,2898,5275,3482,1575,3962,3560,1524,2031,2402,3407,2532,3548,3491,2595,3325,5138,866,1660,6299,3516,3109,2600,5029,3524,4820,3083,4204,4961,4042,3641,4406,3349,2303,1424,3140,2590,1872,267,2414,3060,2472,2712,760,2556,1177,252,4752
SubG,Subgeniculate nucleus,Thalamus,137,55,181,83,24,72,166,164,54,174,29,20,87,28,9,68,17,52,86,69,67,69,39,25,8,29,54,27,35,36,38,33,57,0,33,67,58,27,41,48,59,87,38,96,62,52,153,67,46,47,24,106,19,21,11,16,21,63,36,12,28,6,9,101
MH,Medial habenula,Thalamus,763,559,492,568,557,93,855,125,200,4716,132,516,387,1802,246,608,511,505,279,343,43,144,955,174,331,134,444,288,355,333,355,364,661,1755,90,509,425,466,481,838,1242,1352,1099,946,1421,1100,643,968,220,116,197,475,1447,961,144,443,536,18,641,176,307,25,283,387
LH,Lateral habenula,Thalamus,3488,3295,5971,1596,3093,2068,2645,2629,1097,5373,1131,881,1667,2158,1185,1407,1246,1631,1736,1379,1007,1937,1125,410,638,643,970,962,693,1003,1311,897,723,1779,566,1641,2880,2430,2485,3349,3437,4345,2735,2639,3245,3632,2854,3111,801,227,503,1611,1551,1041,443,489,1613,492,1348,691,829,233,206,1631
CL,Central lateral nucleus of the thalamus,Thalamus,2051,2151,4639,1196,1123,1505,1769,1865,604,6209,494,359,1734,941,598,1221,457,2065,2656,1412,1256,1097,805,462,744,761,1275,951,728,824,1742,1006,400,2388,890,2479,3705,4578,2613,5285,7476,7977,4756,7421,7050,7579,6587,7153,618,474,749,1921,1327,724,489,302,1342,1915,831,239,872,135,227,679
LD,Lateral dorsal nucleus of thalamus,Thalamus,980,508,561,219,489,210,631,349,466,14422,216,207,730,637,248,654,588,421,850,366,895,1448,520,352,202,100,1045,189,194,779,1066,671,485,209,314,285,2508,2493,927,1347,9617,7262,2058,6797,6186,10106,5164,10608,376,316,157,518,841,256,387,168,429,585,571,441,445,22,80,218
PVT,Paraventricular nucleus of the thalamus,Thalamus,6398,5387,17083,5953,6885,5344,5288,8994,5683,9413,3258,3964,10530,6344,4846,14039,6294,9157,7609,8451,4347,8840,7634,5843,6828,6097,7680,6977,6493,5738,8818,7694,13796,23168,13953,24976,7585,9751,9749,18908,8521,10221,9662,7018,7461,9165,6930,8727,6870,3367,5415,9493,10010,10098,10160,8264,7598,5477,5399,1895,7367,9004,4749,13409
IAM,Interanteromedial nucleus of the thalamus,Thalamus,488,679,1386,484,461,509,1207,357,343,863,410,172,566,466,84,426,204,647,691,452,455,495,428,134,66,108,423,103,199,223,534,243,152,542,599,780,591,484,441,1294,982,987,819,688,853,889,866,581,280,373,74,635,150,248,203,125,439,259,298,83,151,243,86,482
IAD,Interanterodorsal nucleus of the thalamus,Thalamus,1059,1706,3681,1202,1500,1056,2299,1447,552,2159,588,229,1558,584,150,1339,653,1045,2094,1190,1402,1052,763,574,602,585,1267,719,583,883,1345,1017,799,1760,2845,3159,2647,2558,2378,3572,3205,3352,2624,2794,3305,3050,3077,2709,446,563,329,1431,935,537,1167,296,1741,1170,636,177,734,648,639,1972
VAL,Ventral anterior-lateral complex of the thalamus,Thalamus,452,607,3872,784,741,807,3108,1267,352,11743,477,445,2665,699,512,842,282,433,1461,528,1539,3631,394,621,152,125,600,299,312,532,810,1349,214,243,485,480,3100,4913,1469,2829,10048,7171,4266,8742,8492,7323,9917,7075,438,1151,251,1517,160,230,283,168,511,2409,857,122,593,138,178,525
VM,Ventral medial nucleus of the thalamus,Thalamus,2294,1778,6722,1978,1934,843,5861,1436,489,14922,2221,2079,3982,3437,1425,1842,395,1764,2847,1877,3377,3983,1690,1018,474,917,1801,1040,1338,1472,2306,2029,842,1170,1384,3915,5081,7866,2642,5604,9655,8667,6063,9639,7601,7011,10277,7022,1301,2660,855,4848,662,1236,991,745,2233,2121,2053,54,1192,854,571,2691
VPL,Ventral posterolateral nucleus of the thalamus,Thalamus,696,1015,1234,274,358,552,1715,289,71,11291,320,461,1835,518,615,995,215,560,1547,1003,1057,1095,711,427,182,332,655,439,579,483,558,767,419,171,233,371,1435,3317,886,1216,4316,2862,1182,3477,3691,2929,3632,3851,639,151,261,974,174,155,200,96,666,368,302,127,467,104,55,427
VPLpc,Ventral posterolateral nucleus of the thalamus parvicellular part,Thalamus,286,544,137,144,254,12,280,69,19,1298,89,116,481,196,152,233,71,203,204,104,307,512,122,198,54,73,66,53,119,111,123,87,38,19,33,24,258,384,80,96,315,370,264,599,353,227,340,385,78,316,161,275,5,3,3,16,130,172,133,27,28,6,22,49
VPM,Ventral posteromedial nucleus of the thalamus,Thalamus,922,1541,1891,148,387,597,2357,526,141,22255,364,1106,6375,533,1283,3213,633,297,2225,281,3450,4292,710,1502,83,152,602,284,262,905,598,1948,519,490,1009,147,334,12883,195,358,4675,2305,947,5828,3523,2570,3262,4076,607,959,719,330,227,99,267,470,2582,2578,1566,256,832,22,240,381
PoT,Posterior triangular thalamic nucleus,Thalamus,3520,5344,7699,2256,3600,1311,4659,2098,315,3303,683,508,2156,1612,522,916,277,2271,2058,1224,1229,1152,1046,925,498,957,1249,563,1273,755,1291,821,181,38,214,300,1537,2906,1060,2462,4219,4206,2498,4281,3798,3780,3601,5095,1664,1503,881,2023,240,211,176,283,902,799,578,410,141,77,89,286
SPFm,Subparafascicular nucleus magnocellular part,Thalamus,1446,773,2606,831,807,688,1811,865,502,1285,743,309,1179,865,470,529,307,1103,1350,1177,581,461,838,420,879,983,607,572,806,1006,1148,914,4106,1841,1941,5357,706,1571,1464,2522,1124,1445,1094,1071,1083,983,1092,1239,779,665,685,1061,2384,1952,1864,846,1327,1374,496,47,2442,1035,740,3296
